Time, CPU, Memory
302, 23.6, 1054.13
304, 24.3, 1071.81
305, 25.6, 1096.21
306, 24.8, 1116.95
307, 18.6, 1135.24
308, 6.1, 1148.56
309, 6.1, 1156.79
311, 6.2, 1293.31
312, 24.9, 393.273
313, 24.7, 414.715
314, 24.8, 432.746
315, 24.7, 451.66
316, 24.8, 477.992
317, 24.7, 499.984
319, 26.3, 518.84
320, 24.8, 545.305
321, 24.8, 568.402
322, 26.4, 589.664
323, 24.7, 611.656
324, 24.5, 632.008
326, 25, 653.148
327, 24.8, 675.168
328, 24.7, 704.938
329, 24.8, 719.668
330, 24.6, 743.766
331, 24.7, 765.719
333, 24.8, 787.199
334, 24.6, 804.648
335, 24.6, 823.246
336, 24.8, 848.555
337, 24.8, 865.367
338, 24.7, 885.992
340, 24.7, 907.91
341, 26.1, 934.141
342, 24.8, 952.949
343, 24.8, 970.84
344, 24.5, 988.363
345, 26.3, 1008.54
347, 24.8, 1024.76
348, 24.8, 1046.23
349, 24.7, 1067.37
350, 24.8, 1087.27
351, 24.8, 1109.12
352, 24.9, 1125.81
354, 15.6, 1143.04
355, 6.1, 1151.8
356, 7.3, 1159.29
357, 6, 1247.62
358, 24.3, 386.195
359, 24.9, 402.41
360, 25.6, 416.211
362, 24.4, 440.402
363, 25.1, 461.879
364, 25.8, 480.117
365, 24.4, 498.703
366, 24.8, 519.762
367, 23.8, 542.305
369, 24.3, 564.734
370, 23.5, 585.312
371, 26, 605.812
372, 24.6, 623
373, 24.5, 645.855
374, 23.8, 659.672
376, 24.2, 685.051
377, 23.5, 700.949
378, 23.9, 727.246
379, 24.8, 748.324
380, 24.5, 766.102
381, 26.3, 789.148
383, 24.9, 807.531
384, 24.5, 825.156
385, 24.4, 847.789
386, 24.7, 861.785
387, 26.4, 890.41
388, 24.8, 909.652
390, 24.7, 929.914
391, 23.3, 947.539
392, 24.7, 968.938
393, 24.7, 984.832
394, 24, 1007.22
395, 26, 1022.32
397, 24.8, 1039.28
398, 25.1, 1062.89
399, 24.3, 1088.26
400, 25.1, 1103.83
401, 24.8, 1117.91
402, 18.5, 1137.7
403, 12.1, 1147.95
405, 6.1, 1158.44
406, 6.1, 1165.57
407, 24.8, 387.418
408, 24.8, 406.285
409, 24.8, 420.871
410, 26.5, 446.008
412, 24.8, 460.879
413, 24.7, 487.09
414, 24.6, 509.422
415, 24.9, 531.75
416, 24.7, 553.496
417, 24.8, 573.359
419, 24.8, 594.688
420, 24.8, 616.68
421, 24.9, 634.078
422, 24.8, 647.754
423, 24.4, 677.395
424, 26.1, 695.551
426, 24.8, 710.285
427, 24.7, 738.57
428, 24.8, 755.555
429, 24.9, 776.387
430, 24.8, 793.297
431, 25.9, 812.691
433, 24.8, 841.102
434, 24.6, 855.262
435, 24.8, 874.969
436, 24.9, 892.977
437, 24.9, 914.082
438, 26.4, 933.922
439, 24.7, 949.371
441, 24.9, 975.23
442, 24.8, 993.02
443, 25.9, 1011.53
444, 24.7, 1028.46
445, 24.8, 1046.05
446, 24.9, 1067.02
448, 24.7, 1091.37
449, 24.8, 1108.26
450, 26.3, 1128.52
451, 19.9, 1142.79
452, 6.9, 1155.75
453, 6.2, 1162.96
455, 15.7, 386.379
456, 24.7, 397.859
457, 24.9, 422.496
458, 25.6, 442.676
459, 24.8, 467.16
460, 24.8, 491.578
462, 24.8, 514.371
463, 24.5, 539.914
464, 24.7, 561.156
465, 24.8, 580.332
466, 24.8, 600.508
467, 26.3, 619.441
469, 24.8, 645.684
470, 24.8, 666.02
471, 24.8, 686.035
472, 24.8, 705.18
473, 24.6, 725.637
474, 24.9, 752.617
476, 24.8, 772.863
477, 25.9, 790.578
478, 24.8, 814.941
479, 24.8, 832.504
480, 24.6, 855.469
481, 24.8, 876.449
482, 24.9, 896.785
484, 26, 922.488
485, 26.4, 938.535
486, 24.8, 969.098
487, 24.8, 984.961
488, 24.8, 1005.29
489, 26.3, 1020.85
491, 26.3, 1040.29
492, 24.8, 1064.5
493, 24.9, 1082.09
494, 24.8, 1101.99
495, 24.8, 1121.14
496, 12.4, 1140.14
498, 6.2, 1151
499, 6.2, 1179.45
500, 24.8, 392.969
501, 24.5, 411.93
502, 23.9, 436.129
503, 26.1, 460.496
505, 26.3, 484.637
506, 24.8, 504.727
507, 23.7, 526.043
508, 24.8, 552.613
509, 24.7, 572.469
510, 24.9, 591.047
512, 24.7, 616.719
513, 26, 638.344
514, 26.3, 658.562
515, 24.4, 678.457
516, 24.4, 694.41
517, 24.8, 721.164
518, 24.8, 741.133
520, 26.2, 767.957
521, 24.8, 785.082
522, 23.9, 800.805
523, 24.6, 825.035
524, 26.3, 840.531
525, 24.8, 867.254
527, 23.8, 885.754
528, 24.7, 905.906
529, 26.3, 929.391
530, 24.8, 949.809
531, 24.7, 964.633
532, 24.7, 989.102
534, 23.9, 1005.22
535, 24.4, 1022.43
536, 23.9, 1040.97
537, 26.2, 1063.86
538, 24.8, 1089.03
539, 24.8, 1107.93
541, 21.8, 1122.85
542, 11.9, 1141.33
543, 6.2, 1150.95
544, 6.2, 1154.99
545, 12.1, 386.629
546, 24.8, 403.898
548, 26.6, 425.465
549, 25.7, 446.918
550, 24.7, 466.402
551, 24.7, 493.469
552, 24.8, 518.406
553, 24.7, 540.941
555, 24.9, 563.082
556, 26.3, 581.703
557, 24.6, 603.543
